UUID,KOD,NAZEV,ZKRATKA,PODTRIDA
d0abb221-fb6f-4acb-b2a0-a57799fe7d3c,223105010,Státní okresní archiv Plzeň-sever se sídlem v Plasích,SOkA Plzeň-sever,PUBLIC_ADMINISTRATION
4e81142a-5b99-4c17-a27a-687f578f6016,223106010,Státní okresní archiv Rokycany,SOkA Rokycany,PUBLIC_ADMINISTRATION
46d706f2-7fe1-4e63-8ab3-f8152166011a,223107010,Státní okresní archiv Tachov,SOkA Tachov,PUBLIC_ADMINISTRATION
4bb423a4-c930-4060-91d1-13934f15fb42,223201010,Státní okresní archiv Cheb,SOkA Cheb,PUBLIC_ADMINISTRATION
079f9a24-707c-473b-bedc-721a0ff64372,223202010,Státní okresní archiv Karlovy Vary,SOkA Karlovy Vary,PUBLIC_ADMINISTRATION
3b0c1dd8-3fac-4d75-990f-4f2ee31e0906,223203010,Státní okresní archiv Sokolov se sídlem v Jindřichovicích,SOkA Sokolov,PUBLIC_ADMINISTRATION
d7fafd5e-92d7-47e7-b7f4-348a36827ca3,224101010,Státní okresní archiv Děčín,SOkA Děčín,PUBLIC_ADMINISTRATION
8fa7fe8e-6793-4c09-a8d0-f44ddfb5115d,224102010,Státní okresní archiv Chomutov se sídlem v Kadani,SOkA Chomutov,PUBLIC_ADMINISTRATION
0f60c827-b614-40c8-b2e7-dec00e77d291,224103010,Státní okresní archiv Litoměřice se sídlem v Lovosicích,SOkA Litoměřice,PUBLIC_ADMINISTRATION
5d3eda10-4c1d-4333-b842-5fa4b0766ceb,224104010,Státní okresní archiv Louny,SOkA Louny,PUBLIC_ADMINISTRATION
3e537690-41ff-41a3-aac9-5fd0e7c955b8,224105010,Státní okresní archiv Most,SOkA Most,PUBLIC_ADMINISTRATION
9061b7f2-4bdd-4cc2-9677-6133539be02e,224106010,Státní okresní archiv Teplice,SOkA Teplice,PUBLIC_ADMINISTRATION
dafd0a3e-e1b4-438f-9775-e4cb742c02dd,224201010,Státní okresní archiv Česká Lípa,SOkA Česká Lípa,PUBLIC_ADMINISTRATION
28c86428-cffe-40de-bab9-c4148c964000,224202010,Státní okresní archiv Jablonec nad Nisou,SOkA Jablonec nad N.,PUBLIC_ADMINISTRATION
77bd7659-bc7f-482f-82e5-04c933948116,224203010,Státní okresní archiv Liberec,SOkA Liberec,PUBLIC_ADMINISTRATION
1a1f10dc-d3e7-493a-95da-3a0eda108a61,224204010,Státní okresní archiv Semily,SOkA Semily,PUBLIC_ADMINISTRATION
8a3f1154-74af-4144-a3c1-cecba7329bd8,225101010,Státní okresní archiv Hradec Králové,SOkA Hradec Králové,PUBLIC_ADMINISTRATION
f9c1aa26-830f-4ad1-ae92-575e932c7c1c,225102010,Státní okresní archiv Jičín,SOkA Jičín,PUBLIC_ADMINISTRATION
2e8b81ae-830b-4d2e-9f22-50fccf9caeab,225103010,Státní okresní archiv Náchod,SOkA Náchod,PUBLIC_ADMINISTRATION
0c1c929f-9479-4af9-9834-675751a9f37a,225104010,Státní okresní archiv Rychnov nad Kněžnou,SOkA Rychnov nad Kn.,PUBLIC_ADMINISTRATION
d84a5237-4ac0-4cc1-85b1-8188e1ae705a,225105010,Státní okresní archiv Trutnov,SOkA Trutnov,PUBLIC_ADMINISTRATION
48c5571b-dbf5-48e5-b615-5cf7cef71489,225201010,Státní okresní archiv Chrudim,SOkA Chrudim,PUBLIC_ADMINISTRATION
0db5911a-7718-4465-9807-b4ac537dfe20,225202010,Státní okresní archiv Pardubice,SOkA Pardubice,PUBLIC_ADMINISTRATION
19c88d80-2946-4093-901a-1949f53746af,225203010,Státní okresní archiv Svitavy se sídlem v Litomyšli,SOkA Svitavy,PUBLIC_ADMINISTRATION
63ec306f-df57-4db4-b0c7-da43b0323f26,225204010,Státní okresní archiv Ústí nad Orlicí,SOkA Ústí nad Orlicí,PUBLIC_ADMINISTRATION
7497d383-dec5-44ce-8362-bf3932ebcde5,226101010,Státní okresní archiv Havlíčkův Brod,SOkA Havlíčkův Brod,PUBLIC_ADMINISTRATION
9b468443-026c-44c6-8c6f-00f0ce1e59cc,226102010,Státní okresní archiv Jihlava,SOkA Jihlava,PUBLIC_ADMINISTRATION
8def92e9-7788-4d6c-a6e2-aebe0a0155c3,226103010,Státní okresní archiv Pelhřimov,SOkA Pelhřimov,PUBLIC_ADMINISTRATION
134eba54-096d-4279-9469-a987b7f44eec,226104010,Státní okresní archiv Třebíč,SOkA Třebíč,PUBLIC_ADMINISTRATION
e0d15f0c-f383-4b2f-b9f4-9daf288c6cda,226105010,Státní okresní archiv Žďár nad Sázavou,SOkA Žďár nad Sázavou,PUBLIC_ADMINISTRATION
96c7c9a4-0a0c-4a9c-af97-6e09a51e0ceb,226201010,Státní okresní archiv Blansko,SOkA Blansko,PUBLIC_ADMINISTRATION
a3c6f569-4a57-4871-8697-9767831451c0,226203010,Státní okresní archiv Brno-venkov se sídlem v Rajhradě,SOkA Brno-venkov,PUBLIC_ADMINISTRATION
2ca2e335-387c-4e6a-a9b1-5e08ff48f4d5,226204010,Státní okresní archiv Břeclav se sídlem v Mikulově,SOkA Břeclav,PUBLIC_ADMINISTRATION
95b1d4ab-4419-4a86-a28f-25fe52572c1f,226205010,Státní okresní archiv Hodonín,SOkA Hodonín,PUBLIC_ADMINISTRATION
afea7996-b878-428d-839f-4e7b4a1c4774,226206010,Státní okresní archiv Vyškov se sídlem ve Slavkově u Brna,SOkA Vyškov,PUBLIC_ADMINISTRATION
fb6e5fa7-8baa-4922-8a25-b5c45ca2eeca,226207010,Státní okresní archiv Znojmo,SOkA Znojmo,PUBLIC_ADMINISTRATION
68243149-e5d2-440d-9c6e-2f93baa015c2,226301010,Státní okresní archiv Kroměříž,SOkA Kroměříž,PUBLIC_ADMINISTRATION
0dd05a49-fdcf-4c63-8af1-8889b7a969c8,226302010,Státní okresní archiv Uherské Hradiště,SOkA Uherské Hradiště,PUBLIC_ADMINISTRATION
d97deea9-49e7-45f3-917d-ad7a14e721e6,226303010,Státní okresní archiv Vsetín,SOkA Vsetín,PUBLIC_ADMINISTRATION
2ecebed8-aae6-4981-a423-b15f4dcffe17,226304010,Státní okresní archiv Zlín,SOkA Zlín,PUBLIC_ADMINISTRATION
47d8bfed-8ebe-4e92-a351-82c04a9cd359,227101010,Státní okresní archiv Jeseník,SOkA Jeseník,PUBLIC_ADMINISTRATION
d4b0e75f-2d69-4e70-b3c7-0038a992e91e,227102010,Státní okresní archiv Olomouc,SOkA Olomouc,PUBLIC_ADMINISTRATION
c52330bd-3faa-4fed-9dcc-70185ccbd805,227103010,Státní okresní archiv Prostějov,SOkA Prostějov,PUBLIC_ADMINISTRATION
